,job_title,company_name,company_location,work_method,role,bachelor,masters,phd,no_diploma,python,sql,nosql,java,julia,matlab,tensorflow,tableau,powerbi,qlikview,excel,cloud,work_type
17,Estágio - Data Analytics,Grupo GCB,"São Paulo, São Paulo, Brasil",Presencial,Analista de Dados,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
18,Observability Analyst,Enkel TI,"Barueri, São Paulo, Brasil",Presencial,Analista de Dados,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
19,DATA ARCHITECTURE JR. MANAGER - STRATEGY & DIGITAL - IM (SP),Novartis Brasil,"São Paulo, São Paulo, Brasil",Presencial,Cientista de Dados,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
20,Data Analyst SSBI - Suporte PBI & PBI Server,Deloitte,"São Paulo, São Paulo, Brasil",Presencial,Analista de Dados,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
21,Data Engineer,IBM,"São Paulo, São Paulo, Brasil",Presencial,Engenheiro de Dados,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Tempo integral
22,Analista de Dados Jr. (Python),NielsenIQ,"Cotia, São Paulo, Brasil",Presencial,Analista de Dados,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Tempo integral
23,Estagiário de Business Intelligence,green4T,"São Paulo, São Paulo, Brasil",Presencial,Analista BI,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Tempo integral
24,Analyst / Data/AI (),Decision,São Paulo e Região,Remoto,Analista de Dados,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Tempo integral
25,Estágio - Data Science SP,Visagio,"São Paulo, São Paulo, Brasil",Presencial,Cientista de Dados,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Tempo integral
26,Pessoa Estagiária em Data Science e Analytics,Horus,"Rio de Janeiro, Rio de Janeiro, Brasil",Remoto,Analista de Dados,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Tempo integral
27,Estagiário de Business Intelligence,Víssimo Group,"São Paulo, São Paulo, Brasil",Presencial,Analista BI,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Tempo integral
28,Estagiário de Business Intelligence,FortBrasil,"Fortaleza, Ceará, Brasil",Híbrido,Analista BI,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Contrato
29,ANALISTA DE DADOS - Junior,Grupo Selecionar,São Paulo e Região,Híbrido,Analista de Dados,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Tempo integral
30,Estágio em Business Intelligence,Vetta,Brasil,Híbrido,Analista BI,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Tempo integral
31,Analista de Dados Pl.,PagBank PagSeguro,São Paulo e Região,Remoto,Analista de Dados,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,Tempo integral
32,[Vaga afirmativa para pessoas pretas] Business Intelligence Analyst,SumUp,"São Paulo, São Paulo, Brasil",Presencial,Analista BI,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,Tempo integral
33,Data Researcher Jr.,"APWireless Infrastructure Partners, LLC","São Paulo, Brasil",Presencial,Cientista de Dados,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Tempo integral
34,Data Engineer and Data Science Intern,HP,"Porto Alegre, Rio Grande do Sul, Brasil",Híbrido,Engenheiro de Dados,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Meio período
35,Data Engineer Python Júnior a Pleno,GeekHunter,"São Paulo, São Paulo, Brasil",Remoto,Engenheiro de Dados,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,Tempo integral
36,Analista de Dados (Remoto),GeekHunter,"São Paulo, São Paulo, Brasil",Presencial,Analista de Dados,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,Tempo integral
37,Estágio Data Science,Vinci Partners,"São Paulo, São Paulo, Brasil",Presencial,Cientista de Dados,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
38,Analista de Dados,BIZM - Business Makers,"São Paulo, São Paulo, Brasil",Presencial,Analista de Dados,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Tempo integral
